act_dem_res_count_max,act_dem_res_count_mean,act_dem_res_count_min,act_dem_res_count_ratio,act_dem_res_count_stddev,act_dem_res_count_variance,act_dem_units_max,act_dem_units_mean,act_dem_units_min,act_dem_units_ratio,act_dem_units_stddev,act_dem_units_variance,act_durations_for_res_max,act_durations_for_res_mean,act_durations_for_res_min,act_durations_for_res_ratio,act_durations_for_res_stddev,act_durations_for_res_variance,act_durations_max,act_durations_mean,act_durations_min,act_durations_ratio,act_durations_stddev,act_durations_variance,acts_per_res_max,acts_per_res_mean,acts_per_res_min,acts_per_res_ratio,acts_per_res_stddev,acts_per_res_variance,avgBranch,avgCap,avgDur,avgResESS,avgResSGSzmax,avgTotalCap,cap_job_ratio,cap_stats_max,cap_stats_mean,cap_stats_min,cap_stats_ratio,cap_stats_stddev,cap_stats_variance,cmax,cmaxBalanced,cmaxSGS,maxCap,minCap,nc,njobs,njobsOCESS,njobsOCSGSzmax,nperiods,nperiodsOCESS,nperiodsOCSGSzmax,nres,numBinaryVars_KopCt1,numBinaryVars_KopDt2,numConstraintsKopCt1,numConstraintsKopDt2,numContinuousVarsKopCt1,numContinuousVarsKopDt2,os,prec_per_act_max,prec_per_act_mean,prec_per_act_min,prec_per_act_ratio,prec_per_act_stddev,prec_per_act_variance,predcount_per_act_max,predcount_per_act_mean,predcount_per_act_min,predcount_per_act_ratio,predcount_per_act_stddev,predcount_per_act_variance,rc,rc0,rc1,rc2,rc3,res_job_ratio,res_util_ratio_max,res_util_ratio_mean,res_util_ratio_min,res_util_ratio_ratio,res_util_ratio_stddev,res_util_ratio_variance,revSlope,revWidth,rf,rs,rs0,rs1,rs2,rs3,succcount_per_act_max,succcount_per_act_mean,succcount_per_act_min,succcount_per_act_ratio,succcount_per_act_stddev,succcount_per_act_variance,tmax,tmin,tminBalanced,tminSGS,total_capacity,best_model
4,1.90625,0,0,0.995453,0.990927,22,9.78125,0,0,6.12101,37.4667,129,90.75,59,0.457364,29.056,844.25,10,5.34375,0,0,3.16849,10.0393,20,15.25,10,0.5,4.272,18.25,58,10.75,5.34375,8.47093,8.31541,16,1.34375,12,10.75,8,0.666667,1.89297,3.58333,106.5,26.5,53,12,8,1.8125,32,27,21,172,42,28,4,448,231944,1192,4654,62,1,0.608871,5,3.625,2,0.4,0.793116,0.629032,3,1.8125,0,0,0.859013,0.737903,0.471367,0.470588,0.535714,0.404167,0.475,0.125,8.08333,7.08333,4.75,0.587629,1.9317,3.73148,2.87838,37,0.476562,0.182937,0.142857,0.222222,0.2,0.166667,3,1.8125,0,0,0.895779,0.802419,97,60,76,74,43,0
1,0.9375,0,0,0.245935,0.060484,10,5.625,0,0,3.37687,11.4032,49,37.25,17,0.346939,14.0089,196.25,10,4.65625,0,0,3.11717,9.71673,10,7.5,4,0.4,2.64575,7,48,16.5,4.65625,15.0533,15.0533,24.5,2.0625,24,16.5,11,0.458333,5.56776,31,0,0,0,24,11,1.5,32,0,0,150,0,0,4,308,231223,1013,4533,62,1,0.403226,4,3,2,0.5,0.803219,0.645161,3,1.5,0,0,0.842423,0.709677,0.379137,0.270833,0.428571,0.339869,0.477273,0.125,3.05882,2.66906,1.90909,0.624126,1.07276,1.15082,0,0,0.234375,1,1,1,1,1,3,1.5,0,0,0.803219,0.645161,38,38,38,38,66,0
4,3.75,0,0,0.983739,0.967742,34,21.1562,0,0,8.56139,73.2974,169,169,169,1,0,0,10,5.28125,0,0,3.31404,10.9829,30,30,30,1,0,0,58,38,5.28125,32.65,32.65,56.75,4.75,44,38,31,0.704545,5.35413,28.6667,0,0,0,44,31,1.8125,32,0,0,170,0,0,4,1004,244450,2153,4850,62,1,0.493952,5,3.625,2,0.4,0.793116,0.629032,3,1.8125,0,0,0.931094,0.866935,0.150365,0.172043,0.157895,0.142735,0.128788,0.125,5.16129,4.51095,3.86364,0.74858,1.00736,1.01477,0,0,0.9375,1,1,1,1,1,3,1.8125,0,0,0.895779,0.802419,54,54,54,54,152,1
4,3.75,0,0,0.983739,0.967742,37,21.4375,0,0,8.56827,73.4153,192,192,192,1,0,0,10,6,0,0,3.13153,9.80645,30,30,30,1,0,0,68,33.75,6,27.8938,27.8938,50.25,4.21875,37,33.75,32,0.864865,2.21736,4.91667,0,0,0,37,32,2.125,32,0,0,193,0,0,4,792,279117,1835,5532,62,1,0.600806,6,4.25,3,0.5,0.762001,0.580645,3,2.125,0,0,0.975506,0.951613,0.170028,0.179798,0.157576,0.189583,0.153153,0.125,5.6875,5.10083,4.59459,0.807841,0.902584,0.814657,0,0,0.9375,1,1,1,1,1,3,2.125,0,0,0.941858,0.887097,59,59,59,59,135,0
3,1.90625,0,0,0.892961,0.797379,20,10.9062,0,0,5.54954,30.7974,111,90.25,61,0.54955,24.9449,622.25,10,5.125,0,0,3.33844,11.1452,19,15.25,10,0.526316,4.11299,16.9167,58,19.5,5.125,16.6576,16.653,29.25,2.4375,22,19.5,18,0.818182,1.91485,3.66667,71.5,21.5,70,22,18,1.8125,32,28,28,165,26,25,4,764,246130,1732,4855,62,1,0.497984,5,3.625,2,0.4,0.751343,0.564516,3,1.8125,0,0,0.931094,0.866935,0.295629,0.31746,0.255981,0.285,0.324074,0.125,5.83333,4.49785,2.85,0.488571,1.52612,2.32905,4.46875,16,0.476562,0.508333,0.5,0.5,0.5,0.533333,3,1.8125,0,0,0.997982,0.995968,61,45,49,45,78,1
3,1.90625,0,0,0.777065,0.603831,26,10.375,0,0,5.86268,34.371,106,77.75,59,0.556604,20.5487,422.25,10,4.9375,0,0,3.0047,9.02823,19,15.25,12,0.631579,3.30404,10.9167,58,29.75,4.9375,26.9906,26.9906,44.5,3.71875,34,29.75,26,0.764706,4.34933,18.9167,0,0,0,34,26,1.8125,32,0,0,159,0,0,4,860,245706,1878,4821,62,1,0.459677,5,3.625,2,0.4,0.707107,0.5,3,1.8125,0,0,0.997982,0.995968,0.190276,0.150155,0.233974,0.221893,0.15508,0.125,2.88462,2.7954,2.63636,0.913939,0.918453,0.843555,0,0,0.476562,1,1,1,1,1,3,1.8125,0,0,0.895779,0.802419,38,38,38,38,119,0
4,2.84375,0,0,1.01947,1.03931,26,14.9375,0,0,7.01582,49.2218,141,119.5,102,0.723404,16.3401,267,10,4.75,0,0,3.19273,10.1935,26,22.75,18,0.692308,3.40343,11.5833,68,13.5,4.75,10.3971,9.96078,20,1.6875,15,13.5,12,0.8,1.73205,3,259,51.5,125.5,15,12,2.125,32,29,29,153,42,47,4,618,219845,1472,4380,62,1,0.614919,6,4.25,3,0.5,0.842423,0.709677,3,2.125,0,0,1.00803,1.01613,0.384311,0.365385,0.361111,0.391304,0.419444,0.125,10.0667,8.76667,6.5,0.645695,1.75921,3.09482,4.31667,60,0.710938,0.203307,0.181818,0.230769,0.192308,0.208333,3,2.125,0,0,0.941858,0.887097,107,47,68,58,54,0
1,0.9375,0,0,0.245935,0.060484,10,5.125,0,0,3.33844,11.1452,45,40.75,34,0.755556,4.78714,22.9167,10,5.09375,0,0,3.11458,9.7006,8,7.5,7,0.875,0.57735,0.333333,68,12.5,5.09375,11.2104,11.2104,18.75,1.5625,14,12.5,12,0.857143,1,1,14.5,14.5,14.5,14,12,2.125,32,17,17,164,13,13,4,140,236035,755,4695,62,1,0.608871,6,4.25,3,0.5,0.762001,0.580645,3,2.125,0,0,0.941858,0.887097,0.437553,0.40625,0.418367,0.404762,0.520833,0.125,4.16667,3.29464,2.83333,0.68,1.1455,1.31218,2.9,5,0.234375,0.555556,0.666667,0.555556,0.5,0.5,3,2.125,0,0,0.975506,0.951613,56,51,51,51,50,0
4,3.75,0,0,0.983739,0.967742,35,22.6875,0,0,8.22834,67.7056,137,137,137,1,0,0,10,4.28125,0,0,3.02926,9.17641,30,30,30,1,0,0,48,28.75,4.28125,22.9873,22.9873,43,3.59375,32,28.75,25,0.78125,3.77492,14.25,72,36,72,32,25,1.5,32,21,21,138,11,11,4,1124,199875,2333,3965,62,1,0.433468,5,3,2,0.4,0.915811,0.83871,3,1.5,0,0,0.879883,0.774194,0.211731,0.18125,0.226923,0.22,0.21875,0.125,6.80769,6.35192,5.4375,0.798729,0.856202,0.733082,18,4,0.9375,0.688118,0.6875,0.695652,0.681818,0.6875,3,1.5,0,0,0.803219,0.645161,52,48,48,48,115,1
1,0.9375,0,0,0.245935,0.060484,10,5.5625,0,0,2.97232,8.83468,63,38.25,21,0.333333,17.8022,316.917,10,4.78125,0,0,2.90422,8.43448,11,7.5,5,0.454545,2.64575,7,48,14,4.78125,12.6169,12.6169,20.75,1.75,18,14,9,0.5,3.74166,14,32.5,8.5,32.5,18,9,1.5,32,22,22,154,18,18,4,258,231404,931,4554,62,1,0.377016,4,3,2,0.5,0.718421,0.516129,3,1.5,0,0,0.762001,0.580645,0.419214,0.383929,0.333333,0.555556,0.40404,0.125,4.44444,3.07341,2,0.45,1.02768,1.05613,32.5,1,0.234375,0.5,0.5,0.5,0.5,0.5,3,1.5,0,0,0.842423,0.709677,48,47,47,47,56,1
